id,title,flavor,time_cost,minigame_type,participants,success_gain_food,success_gain_inspiration,success_gain_craft,success_gain_money,success_loss_food,success_loss_inspiration,success_loss_craft,success_loss_money,fail_gain_food,fail_gain_inspiration,fail_gain_craft,fail_gain_money,fail_loss_food,fail_loss_inspiration,fail_loss_craft,fail_loss_money,notes,tags,blocked_paths
PR01,Genre Lightning Story,"You step into the spotlight and tell a story on the spot. The crowd smells fear and plot twists.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They give you (1) a genre, and (2) a random word you MUST include. Tell a 60s story. Everyone votes Success/Fail.","author,performance,story,improv","musician;dancer;actor;filmmaker;visual_artist"
PR02,The Dramatic Reading,"You perform a live reading—complete with voices, pauses, and unnecessary eye contact.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They choose a book from within reach (or pull one up on their phone), and you have to read it dramatically for 30s. Everyone votes Success/Fail.","author,performance,reading,stage","musician;dancer;actor;filmmaker;visual_artist"
PR03,One-Word Chorus Challenge,"You debut a song, but someone heckles a word you HAVE to sing like you meant it.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They give you a random word. Sing 30s of an original hook/verse including the word at least once. Everyone votes Success/Fail.","musician,performance,song,improv","author;dancer;actor;filmmaker;visual_artist"
PR04,Genre Swap Cover,"Jimmy Fallon forces you to play his wrong genre singing abomination of a game. Enjoy!",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They name a well-known song (or simple melody) and a genre/style (opera, reggae, metal, lullaby, etc.). Perform 30s. Everyone votes Success/Fail.","musician,performance,cover,style","author;dancer;actor;filmmaker;visual_artist"
PR05,Style Switch Freestyle,"You go on your local morning news show and dance like your career depends on it--because it does.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They give you a dance style. Dance 30s. Halfway through, Prompter yells a SECOND style; you must switch instantly. Everyone votes Success/Fail.","dancer,performance,freestyle,style","author;musician;actor;filmmaker;visual_artist"
PR06,Emotion + Prop Routine,"You choreograph a tiny masterpiece using… whatever’s on the table.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They choose (1) an emotion, and (2) a prop/object within reach (phone, napkin, pen, etc.). Dance 30s incorporating both. Everyone votes Success/Fail.","dancer,performance,choreo,prop","author;musician;actor;filmmaker;visual_artist"
PR07,Cold Read: The Audition,"You get handed a script and zero mercy.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Reader. They give you 2–3 lines of dialogue (they can invent them). You perform the lines twice: first neutral, then with an emotion the Reader assigns. Everyone votes Success/Fail.","actor,performance,coldread,audition","author;musician;dancer;filmmaker;visual_artist"
PR08,Two-Person Improv Scene,"You and a partner build a scene out of nothing but vibes and panic.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Partner. A third player gives you: (1) location, (2) relationship, (3) a secret objective for YOU only. Improv 60s. Everyone votes Success/Fail.","actor,performance,improv,scene","author;musician;dancer;filmmaker;visual_artist"
PR09,Trailer Pitch in 60 Seconds,"You pitch a trailer so vivid everyone can see the montage in their minds.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They give you a genre + a random object that must appear. Verbally cut a trailer pitch in 60s (shots, music, taglines). Everyone votes Success/Fail.","filmmaker,performance,pitch,trailer","author;musician;dancer;actor;visual_artist"
PR10,One-Shot Scene Block,"You direct a one-take scene with imaginary camera moves and real commitment.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick 2 Partners. For 45s, direct them in a scene of your choosing, but with no dialogue. Everyone votes Success/Fail.","filmmaker,performance,blocking,oneshot","author;musician;dancer;actor;visual_artist"
PR11,Speed Sketch Prompt,"You sketch a drawing fast enough to hear your ancestors yelling 'UNDO!'",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They give you a prompt (noun + vibe). You have 60s to sketch on paper/phone. Show the group. Everyone votes Success/Fail.","visual_artist,performance,drawing,speed","author;musician;dancer;actor;filmmaker"
PR12,Logo Redesign Hot Seat,"A brand needs a new look. You are the brand. Everything is brand.",2,peer_vote,table,5,5,5,5,0,0,0,0,0,0,0,0,2,2,2,2,"Pick a Prompter. They name a real or silly brand + a keyword (e.g., luxury, chaos, etc). Sketch (or describe) a new logo + color palette in under 90s. Everyone votes Success/Fail.","visual_artist,performance,design,logo","author;musician;dancer;actor;filmmaker"
